category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,SUSHI,Salmon Katsu Uramaki,659.1,Non-Veg,,"Salmon Filled with Crispy Salmon, Imported Cucumber And Topped with Wasabi Mayo 43.5 Kcal. 348 kcal.",Mamagoto
Unknown Category,SUSHI,Veg California Uramaki,589.1,Veg,,"Sushi Filled with Asparagus, Japanese Radish, Cucumber & Avocado 29.19 Kcal.",Mamagoto
Unknown Category,,Pan Fried Chicken Bao (4pcs),689.0,Non-Veg,,332.38 Kcal 332.38 kcal.,Mamagoto
Unknown Category,,Pan Fried Vegetable Bao (4pcs),579.0,Veg,,332.38 Kcal 332.38 kcal.,Mamagoto
Unknown Category,,Wild Mushroom Bao (4pcs),579.0,Veg,,Steamed Bao filled with truffle oil flavored assorted wild mushroom 292.15 kcal 292.15 kcal.,Mamagoto
Unknown Category,APPETIZER,Crispy Chili Potatoes,549.0,Veg,,"Tossed in scallions, bell peppers, Chinese spices 680.41 kcal.",Mamagoto
Unknown Category,APPETIZER,Vegetarian Kung Pao,549.0,Veg,,"Dry Preparation of Crispy Mushrooms, Broccoli And Baby Corn Tossed with Lantern Chilies and Roasted Peanuts 760.08 Kcal. 760.08 kcal.",Mamagoto
Unknown Category,APPETIZER,Bite Size Corn Fritter Balls,549.0,Veg,,Served with a firecracker Oriental salsa 220.8 kcal.,Mamagoto
Unknown Category,APPETIZER,Crispy Lotus Stem,579.0,Veg,,Tossed in burnt garlic & dried chili or tossed in hot n sweet sauce 166.71 kcal.,Mamagoto
Unknown Category,APPETIZER,Honey Chicken,709.0,Non-Veg,,Tossed With Bell Peppers and Mild Sichuan Pepper.582.75Kcal. 582.75 kcal.,Mamagoto
Unknown Category,APPETIZER,Classic Chicken Wings,709.0,Non-Veg,,"Wok Tossed with A Chinese ""Pepper Salt"" Seasoning.605.68 Kcal. 605.68 kcal.",Mamagoto
Unknown Category,APPETIZER,Lantern Chili and Peanut,589.1,Non-Veg,,Wok Tossed with Chef Special Button Chilies And Finished with Chinese Wine 785.4 Kcal.,Mamagoto
Unknown Category,APPETIZER,1990's Chili Chicken,709.0,Non-Veg,BESTSELLER,"Wok tossed chicken with garlic, chili, soy, and bell peppers 439.14 kcal.",Mamagoto
Unknown Category,APPETIZER,Traditional Crispy Lamb,929.0,Non-Veg,,"With Bell Peppers, Spring Onions and Chinese Spices.510 Kcal. 510.99 kcal.",Mamagoto
Unknown Category,APPETIZER,Mussorie Mall Road Chinese Rolls,549.1,Veg,,"Crispy Spring Rolls Filled with Shredded Vegetables , Served with Sweet Chili Dip 419.39 Kcal.",Mamagoto
Unknown Category,GRILL,Garlic Butter Mushrooms,529.0,Veg,,With garlic butter sauce 512.54 kcal.,Mamagoto
Unknown Category,GRILL,Chicken Satay,579.0,Non-Veg,,Skewered Chicken Served with Traditional Peanut Sauce 441.11 Kcal. 441.11 kcal.,Mamagoto
Unknown Category,GRILL,Prawns Wrapped in Bacon,1209.0,Non-Veg,,"Grilled Prawns Marinated with Sesame And Japanese Spices, Wrapped In Bacon To Provide A Smokey Aroma.504.44 Kcal. 504.44 kcal.",Mamagoto
Unknown Category,GRILL,Teriyaki Skewer,529.1,Non-Veg,,"Japanese Sweet Soy Marinated Skewered Tofu or Chicken or Pork Belly, Grilled to Perfection, Served with Wasabi Mayo 301.76 Kcal.",Mamagoto
Unknown Category,,Stir-Fried Vegetables with Burnt Garlic,689.0,Veg,,357 Kcal 357 kcal.,Mamagoto
Unknown Category,,Stir-Fried Vegetables with Crunchy Almonds,689.0,Veg,,,Mamagoto
Unknown Category,,Hong Kong Style Exotic Mushrooms,689.0,Non-Veg,,Stir-fried wild mushrooms and button mushrooms flavoured with oyster sauce 524.4 kcal.,Mamagoto
Unknown Category,,Black Pepper Sauce,689.1,Veg,BESTSELLER,Tossed in black pepper sauce,Mamagoto
Unknown Category,,Schezwan Sauce,689.1,Non-Veg,,"Schezwan, pepper, ginger, dried red chillies and spring onions in a light gravy",Mamagoto
